Simulation_ID,Event_Type,Event_Time,Event_Step
843,Lapse,7.666666666666666,92
844,Lapse,6.583333333333333,79
845,Lapse,5.0,60
846,Survival,10.0,120
847,Disability,8.5,102
848,Lapse,3.833333333333333,46
849,Lapse,1.5,18
850,Death,8.583333333333332,103
851,Lapse,3.1666666666666665,38
852,Survival,10.0,120
853,Survival,10.0,120
854,Survival,10.0,120
855,Lapse,3.083333333333333,37
856,Lapse,2.083333333333333,25
857,Death,3.25,39
858,Death,7.166666666666666,86
859,Survival,10.0,120
860,Survival,10.0,120
861,Survival,10.0,120
862,Lapse,5.25,63
863,Survival,10.0,120
864,Lapse,3.083333333333333,37
865,Lapse,1.0,12
866,Survival,10.0,120
867,Survival,10.0,120
868,Lapse,1.25,15
869,Survival,10.0,120
870,Survival,10.0,120
871,Death,4.416666666666666,53
872,Survival,10.0,120
873,Death,2.833333333333333,34
874,Disability,2.333333333333333,28
875,Lapse,0.5,6
876,Lapse,6.666666666666666,80
877,Death,2.25,27
878,Survival,10.0,120
879,Lapse,1.5833333333333333,19
880,Survival,10.0,120
881,Lapse,3.4166666666666665,41
882,Lapse,0.16666666666666666,2
883,Survival,10.0,120
884,Lapse,4.25,51
885,Survival,10.0,120
886,Survival,10.0,120
887,Survival,10.0,120
888,Lapse,4.916666666666666,59
889,Survival,10.0,120
890,Survival,10.0,120
891,Survival,10.0,120
892,Lapse,8.25,99
893,Death,8.666666666666666,104
894,Lapse,6.25,75
895,Survival,10.0,120
896,Lapse,3.25,39
897,Survival,10.0,120
898,Survival,10.0,120
899,Lapse,3.0,36
900,Lapse,5.583333333333333,67
901,Lapse,9.916666666666666,119
902,Survival,10.0,120
903,Lapse,0.16666666666666666,2
904,Survival,10.0,120
905,Lapse,6.416666666666666,77
906,Survival,10.0,120
907,Survival,10.0,120
908,Survival,10.0,120
909,Survival,10.0,120
910,Lapse,9.666666666666666,116
911,Survival,10.0,120
912,Lapse,4.166666666666666,50
913,Lapse,4.666666666666666,56
914,Survival,10.0,120
915,Lapse,2.1666666666666665,26
916,Lapse,4.75,57
917,Lapse,5.25,63
918,Survival,10.0,120
919,Survival,10.0,120
920,Survival,10.0,120
921,Survival,10.0,120
922,Lapse,8.416666666666666,101
923,Lapse,0.5,6
924,Death,0.9166666666666666,11
925,Lapse,3.083333333333333,37
926,Survival,10.0,120
927,Survival,10.0,120
928,Survival,10.0,120
929,Survival,10.0,120
930,Survival,10.0,120
931,Lapse,5.166666666666666,62
932,Survival,10.0,120
933,Survival,10.0,120
934,Survival,10.0,120
935,Survival,10.0,120
936,Survival,10.0,120
937,Lapse,6.083333333333333,73
938,Survival,10.0,120
939,Survival,10.0,120
940,Disability,3.333333333333333,40
941,Lapse,2.083333333333333,25
942,Survival,10.0,120
943,Lapse,8.416666666666666,101
944,Survival,10.0,120
945,Disability,5.25,63
946,Death,4.583333333333333,55
947,Lapse,1.0833333333333333,13
948,Survival,10.0,120
949,Lapse,3.1666666666666665,38
950,Survival,10.0,120
951,Lapse,5.0,60
952,Survival,10.0,120
953,Survival,10.0,120
954,Lapse,7.25,87
955,Lapse,4.5,54
956,Lapse,7.166666666666666,86
957,Survival,10.0,120
958,Lapse,8.583333333333332,103
959,Lapse,1.5,18
960,Lapse,2.0,24
961,Survival,10.0,120
962,Lapse,8.583333333333332,103
963,Survival,10.0,120
964,Survival,10.0,120
965,Lapse,9.0,108
966,Lapse,3.1666666666666665,38
967,Lapse,1.6666666666666665,20
968,Lapse,0.75,9
969,Disability,2.333333333333333,28
970,Survival,10.0,120
971,Survival,10.0,120
972,Survival,10.0,120
973,Survival,10.0,120
974,Survival,10.0,120
975,Survival,10.0,120
976,Survival,10.0,120
977,Survival,10.0,120
978,Lapse,5.25,63
979,Survival,10.0,120
980,Lapse,0.5833333333333333,7
981,Lapse,8.0,96
982,Survival,10.0,120
983,Survival,10.0,120
984,Survival,10.0,120
985,Survival,10.0,120
986,Disability,5.583333333333333,67
987,Death,5.0,60
988,Lapse,8.083333333333332,97
989,Survival,10.0,120
990,Survival,10.0,120
991,Lapse,5.166666666666666,62
992,Survival,10.0,120
993,Lapse,0.9166666666666666,11
994,Lapse,7.583333333333333,91
995,Survival,10.0,120
996,Survival,10.0,120
997,Survival,10.0,120
998,Lapse,1.9166666666666665,23
999,Survival,10.0,120
1000,Survival,10.0,120
1001,Lapse,8.916666666666666,107
1002,Survival,10.0,120
1003,Lapse,6.0,72
1004,Disability,0.5,6
1005,Survival,10.0,120
1006,Survival,10.0,120
1007,Survival,10.0,120
1008,Disability,6.916666666666666,83
1009,Survival,10.0,120
1010,Survival,10.0,120
1011,Disability,0.25,3
1012,Lapse,5.833333333333333,70
1013,Survival,10.0,120
1014,Lapse,5.166666666666666,62
1015,Lapse,7.916666666666666,95
1016,Lapse,8.583333333333332,103
1017,Survival,10.0,120
1018,Survival,10.0,120
1019,Lapse,5.666666666666666,68
