simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
221,Death,1.6666666666666665,20,91197.0576418928,130000.0,0.8751733190429475,113772.53147558318
222,Survival,10.0,120,59324.12115790289,120000.0,0.44932896411722156,53919.47569406659
223,Death,5.833333333333333,70,116481.5531016011,130000.0,0.6270890852730561,81521.5810854973
224,Survival,10.0,120,302650.7205113174,302650.7205113174,0.44932896411722156,135989.734736681
225,Survival,10.0,120,527536.5281506199,527536.5281506199,0.44932896411722156,237037.44172791354
226,Death,1.8333333333333333,22,77052.8984874572,130000.0,0.8635817900415641,112265.63270540333
227,Survival,10.0,120,76967.43206328257,120000.0,0.44932896411722156,53919.47569406659
228,Death,3.75,45,118411.02376723757,130000.0,0.7408182206817179,96306.36868862332
229,Lapse,5.666666666666666,68,148463.62459106298,133617.2621319567,0.6355062628956224,84914.60691582457
230,Lapse,7.333333333333333,88,266342.0236639377,239707.82129754394,0.5561781253709418,133320.2466860207
231,Death,1.5,18,93815.61848393345,130000.0,0.8869204367171575,115299.65677323047
232,Lapse,1.1666666666666665,14,100502.91248839845,90452.6212395586,0.9108898197456121,82392.37185641966
233,Survival,10.0,120,219269.07974414914,219269.07974414914,0.44932896411722156,98523.94846437499
234,Death,6.0,72,84514.58987364761,130000.0,0.6187833918061408,80441.84093479831
235,Lapse,9.0,108,204513.62670890862,184062.26403801775,0.4867522559599717,89592.7222576051
236,Lapse,0.16666666666666666,2,89166.26262615419,80249.63636353877,0.9867551618071957,79186.74291487232
237,Lapse,0.8333333333333333,10,93430.93650634163,84087.84285570747,0.9355069850316178,78664.76434775535
238,Survival,10.0,120,179630.96385935816,179630.96385935816,0.44932896411722156,80713.39491430347
239,Survival,10.0,120,87681.36541205576,120000.0,0.44932896411722156,53919.47569406659
240,Lapse,1.0,12,80662.04007876196,72595.83607088577,0.9231163463866358,67014.40295663921
241,Survival,10.0,120,102945.313847603,120000.0,0.44932896411722156,53919.47569406659
242,Disability,2.083333333333333,25,135891.2771440848,135891.2771440848,0.8464817248906141,115029.48267451339
243,Survival,10.0,120,722395.070814415,722395.070814415,0.44932896411722156,324593.028852428
244,Lapse,2.9166666666666665,35,145197.4996597841,130677.7496938057,0.7918895663367816,103482.3465348943
